entity_name,team_abbr,level,parent_org,total_vs_expected,net_for,net_against,n_challenges,n_overturns,n_confirms,rate_overturns,exp_chal,exp_chal_gained,exp_chal_lost,exp_rate_overturns,net_chal_gained,net_chal_lost,n_strikeouts_flip,n_walks_flip,exp_rate_challenges,exp_rate_challenges_diff,n_challenges_against,n_overturns_against,n_confirms_against,rate_overturns_against,exp_chal_against,exp_chal_gained_against,exp_chal_lost_against,exp_rate_overturns_against,net_chal_gained_against,net_chal_lost_against,n_strikeouts_flip_against,n_walks_flip_against,exp_rate_challenges_against,exp_rate_challenges_diff_against
Davis Schneider,TOR,MLB,TOR,4.764787197827151,6.077564938246938,1.3127777404197862,12,9,3,0.75,4.340520176921668,2.131477619337365,2.209042557584303,0.4910650181216358,6.868522380662635,0.7909574424156973,1,1,0.0620074310988809,0.1094211403296904,3,3,0,1.0,4.694344757035473,3.1907835083078435,1.5035612487276295,0.6797079621231007,-0.1907835083078433,-1.5035612487276295,2,1,0.0335310339788248,-0.0121024625502533
Isaac Paredes,HOU,MLB,HOU,4.040331794947955,5.389355885892794,1.3490240909448388,5,5,0,1.0,6.0289170560683765,2.819780585087791,3.2091364709805843,0.4677093014987749,2.180219414912209,-3.2091364709805843,2,1,0.045673614061124,-0.0077948261823361,5,3,2,0.6,5.075778588912308,2.363377248983735,2.712401339928573,0.4656186647200039,0.6366227510162652,-0.7124013399285736,1,0,0.0175632477124993,-0.0002622096502155
Aaron Judge,NYY,MLB,NYY,4.871630991749815,5.335403495086936,0.4637725033371208,5,4,1,0.8,8.103348964915138,2.8839727349141016,5.2193762300010365,0.3558988693934772,1.1160272650858984,-4.219376230001038,1,0,0.0547523578710482,-0.0209685740872644,6,3,3,0.5,6.425456425675643,2.9808419611692605,3.444614464506381,0.463911318308539,0.0191580388307396,-0.4446144645063811,1,0,0.0186786524002198,-0.0012367919351036
Maikel Garcia,KC,MLB,KC,6.6449368198872865,4.728452373502457,-1.9164844463848296,12,9,3,0.75,8.594940637921933,4.9332441322097385,3.661696505712196,0.5739707043983131,4.0667558677902615,-0.6616965057121957,1,0,0.0472249485600106,0.0187091173740553,4,1,3,0.25,5.7408277720918885,2.828656109238357,2.912171662853528,0.4927261749584988,-1.8286561092383573,0.0878283371464724,0,0,0.022080106815738,-0.0066954914311226
Nick Kurtz,ATH,MLB,ATH,10.371835093153404,4.568252171399296,-5.803582921754108,6,5,1,0.8333333333333334,8.863167805143226,4.147457816871965,4.715709988271262,0.4679430546790762,0.8525421831280342,-3.7157099882712616,1,1,0.0607066288023508,-0.0196107383913919,15,6,9,0.4,10.638134976537646,6.720858949145877,3.917276027391767,0.6317704150181116,-0.7208589491458764,5.082723972608232,3,0,0.0274178736508702,0.0112419201635627
Marcus Semien,NYM,MLB,NYM,5.54770392362728,4.527277046914489,-1.0204268767127909,6,5,1,0.8333333333333334,3.6181968779364344,1.5454599155109727,2.0727369624254623,0.4271353847368291,3.454540084489027,-1.072736962425462,0,1,0.0441243521699565,0.0290463795373605,7,3,4,0.4285714285714285,4.707012846969696,2.3637198618412425,2.343292985128452,0.5021698343914591,0.6362801381587573,1.656707014871548,1,0,0.0217917261433782,0.0106156812640291
Xander Bogaerts,SD,MLB,SD,4.141274223551589,4.194561884306039,0.0532876607544499,8,6,2,0.75,5.523026808028949,2.6642324618614537,2.858794346167494,0.4823862991192436,3.3357675381385463,-0.8587943461674933,2,0,0.0452707115412208,0.0203030589505823,11,5,6,0.4545454545454545,5.322606918856392,2.1346596290509705,3.187947289805421,0.4010552839227174,2.865340370949029,2.812052710194579,1,0,0.0223638946170436,0.0238545927779143
Tyler Stephenson,CIN,MLB,CIN,5.452363498667609,4.129504062260725,-1.3228594364068833,3,3,0,1.0,5.228351982596912,2.049423960168093,3.178928022428818,0.3919827829093764,0.950576039831907,-3.178928022428818,1,1,0.0600959997999645,-0.0256132411792748,7,3,4,0.4285714285714285,5.003829174122914,2.663344305264899,2.340484868858016,0.5322612368620153,0.3366556947351009,1.6595151311419842,1,0,0.0274935668907852,0.0109679715707532
Teoscar Hernandez,LAD,MLB,LAD,2.7771308108050436,4.067879147547027,1.290748336741983,8,6,2,0.75,4.967593806700232,2.449857329576602,2.5177364771236284,0.4931678041534442,3.550142670423398,-0.5177364771236285,1,0,0.0428240845405192,0.02614143270086,11,6,5,0.5454545454545454,6.064288585902935,2.8867701245804764,3.177518461322459,0.4760278281101383,3.1132298754195236,1.8224815386775408,2,2,0.0236886272886833,0.0192801227113166
Kevin McGonigle,DET,MLB,DET,3.377291331117098,3.879722670469307,0.5024313393522092,9,7,2,0.7777777777777778,7.626104228046894,4.373190778788793,3.252913449258101,0.5734501716755059,2.626809221211206,-1.2529134492581009,1,2,0.058214536091961,0.0104877539843748,6,3,3,0.5,8.365985942752415,3.931777301700103,4.4342086410523125,0.4699717796091043,-0.9317773017001032,-1.4342086410523125,0,0,0.0253514725537951,-0.007169654371977
Jose Altuve,HOU,MLB,HOU,1.4398316943491998,3.8527284748093553,2.4128967804601555,13,9,4,0.6923076923076923,4.7101584559005465,2.928714990545595,1.7814434653549505,0.621786935188287,6.071285009454405,2.2185565346450495,2,0,0.0452899851528898,0.0797100148471101,5,4,1,0.8,5.25024722669068,2.918675223115262,2.3315720035754177,0.5559119593983296,1.0813247768847376,-1.331572003575418,2,1,0.0229268437846754,-0.0010927826493042
Kyle Schwarber,PHI,MLB,PHI,1.3842496246584184,3.822050406714823,2.4378007820564047,11,7,4,0.6363636363636364,6.603895618244613,2.8909226057648936,3.7129730124797184,0.4377601907846829,4.109077394235105,0.2870269875202821,1,1,0.0465063071707367,0.0309584815616576,5,3,2,0.6,6.3695544934268185,2.465876855685206,3.903677637741611,0.3871349021709311,0.5341231443147941,-1.9036776377416107,2,1,0.0199672554652878,-0.0042932742740652
